platformid_postid,message_or_description,post_url,account_url,target,keyword,domain_of_attack,media_data,is_this_misinformation,is_this_disinformation,is_this_malinformation
100064993861806_689271849915938,⛔জাস্টিন ফুডো ওরফে ইসরায়েল পরিষদের কর্ণধার বিকাশ নুরা❗ ⛔সমকামী হিলালি বুবুর বয়ফ্রেন্ড সুদখোর ইউনূচ্ছা❗ ⛔ঢাকাতে দুই চারটা লাশ ফেলে দেওয়া ভাইবার মান্না❗ ⛔অসময়ে সরব আব্দুর রব!❗ ✅✅বেঁধেছে এবার বিএনপির সাথে জোট তাই দিব এবার নৌকায় ভোট। বাংলাদেশ জয় বাংলা তৃণমূল কর্মী পরিষদ। জয় বাংলা জয় বঙ্গবন্ধু,https://www.facebook.com/100064993861806/posts/689271849915938,https://www.facebook.com/100064993861806,হাসিনা,সমকামী,Gender based attack (male),"[{'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/376683634_689271806582609_487470397284585323_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=5614bc&_nc_ohc=Fq4fZYaMrGoAX8mGSHE&_nc_ht=scontent-sea1-1.xx&oh=00_AfCp-PWg4HkW-lmqsKrrdiC_NqTg0pUAdbkPTR1Xy-kzDQ&oe=6524ED40'}]",Yes,Yes,Yes
100071790349416_281175820952094,‘হাওয়া ভবন’ গড়ে তুলে দেশব্যাপী দুর্নীতি ও ত্রাসের রাজত্ব কায়েম করেছিলেন তারেক রহমান। দলকে ক্ষমতায় টিকিয়ে রাখতে সন্ত্রাসীদের লালন-পালন করতো এই কুলাঙ্গার।,https://www.facebook.com/100071790349416/posts/281175820952094,https://www.facebook.com/520531038463968,তারেক রহমান,কুলাঙ্গার,Gender based attack (male),"[{'type': 'photo', 'url': 'https://external-sea1-1.xx.fbcdn.net/emg1/v/t13/9354584867065074855?url=https%3A%2F%2Fwww.banglanewsbankbd.com%2Fwp-content%2Fuploads%2F2023%2F07%2F21014.jpg&fb_obo=1&utld=banglanewsbankbd.com&stp=c0.5000x0.5000f_dst-emg0_p346x346_q75&ccb=13-1&oh=06_AbHIc5J26Xzwn0St09mR_pRnVlXQMrcUEc9eCa7p-Vm0zQ&oe=64A21B2B&_nc_sid=28bdff'}]",Yes,Yes,No
201358817830324_798762548089945,"‘গুজব কিং’ হিসেবে কুখ্যাতি পেয়েছে তাসনিম খলিল 
একজন তাসনিম খলিল। যিনি নিজেকে সাংবাদিক পরিচয় দিলেও কুখ্যাতি পেয়েছেন ‘গুজব কিং’ হিসেবে। টাকার বিনিময়েই মূলত দেশবিরোধী কাজ করেন তিনি। বিভিন্ন অসামাজিক কাজের দায়ে দেশে ঠাঁই হয়নি তার। বরং পাড়ি জমাতে হয়েছে ইউরোপের দেশ সুইডেনে। যেখানে সমকামিতার বৈধতা আছে।
খোঁজ নিয়ে জানা গেছে, মূলত সমকামী জীবনে ঝামেলা এড়াতেই ওই দেশকে বেছে নিয়েছেন তাসনিম। তবে সেখানে গিয়েও নিজের জীবনযাপনের খরচ চালাতে বেছে নিয়েছেন পুরনো পদ্ধতি। বিএনপির ভাইস চেয়ারম্যান ও পলাতক আসামি তারেক রহমানের কাছ থেকে কোটি কোটি টাকা নিয়ে করছেন বাংলাদেশ, বঙ্গবন্ধু ও মুক্তিযুদ্ধ নিয়ে একের পর এক মিথ্যাচার। উদ্দেশ্য একটাই- জনগণকে উসকে দিয়ে বাংলাদেশে অস্থিতিশীল পরিস্থিতি সৃষ্টি করে পেছনের দরজা দিয়ে স্বাধীনতা বিরোধীদের ক্ষমতায় বসানো।
২০২১ সালের ৭ অক্টোবর সুইডেনে মামলা খেয়েছেন তিনি। এরপর বিএনপিতে আরও চাহিদা বেড়েছে তার। এতে করে প্রতি মিথ্যা প্রচারণা করতে তারেকের কাছে বাড়িয়েছে নিজের রেট। ৬০০ ডলারের পরিবর্তে নিচ্ছে প্রায় ২ হাজার ডলার। 
এতে টাকার ক্ষুধা কমলেও কমেনি বিকৃত চাহিদা। বরং আরও বেড়েছে। যার প্রমাণ মেলে স্যোশাল মিডিয়ায় তার শেয়ার করা বিভিন্ন পোস্টের কমেন্টে। তার সৃষ্টি করা সমকামী কমিউনিটিও তাকে অনেক দিন কাছে না পেয়ে আকুলতা দেখাচ্ছেন ফেসবুক, টুইটারে।
বিকৃত সমকামিতার লীলাভূমি খ্যাত সুইডেনকেই বেছে নিয়ে তাসনিম প্রমাণ করেছে তিনিও যৌন বিকারগ্রস্ত মানুষ। এসব লোকগুলো দেশ ও সমাজের জন্য ক্ষতিকর। সমাজের মূল্যবোধ রক্ষার্থে এসব মানুষ পরিহার করা জরুরি।",https://www.facebook.com/groups/201358817830324/permalink/798762548089945,https://www.facebook.com/groups/201358817830324,তাসনিম খলিল,সমকামী,Gender based attack (male),"[{'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/348569341_1136611071062542_3672698879237876374_n.jpg?stp=dst-jpg_p720x720&_nc_cat=109&ccb=1-7&_nc_sid=5f2048&_nc_ohc=lSPAJfDcAAUAX8TW0Xm&_nc_ht=scontent-sea1-1.xx&oh=00_AfBUZpoTBf_GCgyeO7_j5gZsreaiYe8fbitMRs3SSu7-Rw&oe=6563B5DF'}]",Yes,Yes,No
531073524485272_1213676849558266,"১৫ বছর ধরে ক্ষমতার বাইরে থাকা বিএনপি, ক্ষমতায় আসার জন্য বেপরোয়া হয়ে উঠেছে। ২০০১ সালে ক্ষমতায় আসতে আদর্শের বাইরে গিয়ে যুদ্ধাপরাধের সঙ্গে জড়িত জামায়াতের সঙ্গে হাত মিলিয়েছিল। এবার ক্ষমতায় আসতে ইসলামিক মূল্যবোধের বিরোধিতা করে, সমলিঙ্গের সম্পর্ককে বৈধতা দিতেও রাজি হয়ে গেছে ক্ষমতা লোভী বিএনপি।
বিএনপি যে ২৭ দফা দাবী দিয়ছে তার মধ্যে রাষ্ট্র কাঠামো মেরামতের সংক্ষিপ্ত রুপরেখা নামক অনুচ্ছেদের ২ নং  পয়েন্টে তারা বলেছে একটি “Rainbow nation” গঠন করা হবে। যদিও এই রেইনবো নেশন কি সেটার একটা সম্যক ধারণা আমার আগে থেকেই ছিল। তারপরেও গুগলে সার্চ দিলাম, এবং আমার ধারণাই সঠিক। “Rainbow” যার বাংলা অর্থ রংধনু – এই Rainbow হল সারা বিশ্বের “সমলিঙ্গের” মানুষদের অধিকার রক্ষা করার প্রতীক। এটি যেমন সারা বিশ্বে ব্যাপক সমালোচিত, তেমনি ইসলাম ধর্মের সাথে ভয়ংকর সাংঘর্ষিক। “গে সেক্স” “লেসবিয়ান” অর্থাৎ “সমলিঙ্গের” মানুষদের যৌনসম্পর্কের বৈধতা দেবার জন্য একটি প্রতিষ্ঠান হল এই “rainbow nation”
এখন আসি মূল কথায়, সমলিঙ্গের বৈধতা দুনিয়ার অনেক দেশেই আছে। কিন্তু ৯০% মুসলিম জনগোষ্ঠীর কোন দেশে নেই। এখন তারেক রহমান লন্ডনে বসে তার লণ্ডনী চিন্তা ভাবনা দিয়ে নিজের মনগড়া ২৭ দফা দাবী বসিয়ে দেশকে ইউরোপ আমেরিকার সংস্কৃতিতে নিয়ে যেতে চায়, এটা কি বাংলাদেশের মানুষ মেনে নিবে?
এই সমলিঙ্গের  আইন করা মানে হল,  গর্ভপাত এবং বিবাহবিচ্ছেদের বিধান এবং সমকামী বিবাহকে বৈধ করতেও সম্মতি দেয়া । বিএনপি নেতারাও বলছেন যে, তাদের ভারপ্রাপ্ত চেয়ারম্যান তারেক রহমান সমকামী বিয়েকে অর্থাৎ  “এলজিবিটি অধিকারকে মানবাধিকারের অংশ” বলে মনে করেন। এলজিবিটি (LGBT- Lesbian, gay, bisexual, and transgender)
আমি বুঝতে পারছি না, ৯০% মুসলমানের দেশে তারেক রহমান সমকামী বিবাহকে বৈধ করার মত দাবী তোলার এত বড় ধৃষ্টতা দেখানোর সাহস কি করে পেল? 
যদিও বিষয়গুলোকে ক্ষমতায় আসার পরিকল্পনা বলে মনে করছেন রাজনৈতিক বিশ্লেষকরা। তারা বলছেন, বিষয়গুলোর মাধ্যমে বিএনপির আসল উদ্দেশ্য সকলের সামনে পরিষ্কার হলো। বিষয়টি প্রমাণ করে, তারা সব কিছু বাদ দিয়ে শুধু ক্ষমতায় আসতে চায়। কিন্তু সমকামী বিবাহকে বৈধতা দেবার মত সেন্সিটিভ ইস্যু তাদের ২৭ দফা দাবিতে রেখে বিএনপি আরও জনবিচ্ছিন্ন হয়ে গেল।",https://www.facebook.com/groups/531073524485272/permalink/1213676849558266,https://www.facebook.com/groups/531073524485272,তারেক রহমান,সমকামী,Fake Propaganda News (political),"[{'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/321240019_714828810063238_8363369930999500151_n.jpg?stp=dst-jpg_p720x720&_nc_cat=111&ccb=1-7&_nc_sid=8024bb&_nc_ohc=V1pNjLYYQ0sAX-NJsXZ&_nc_ht=scontent-sea1-1.xx&oh=00_AfBUTpuADkK5M0sI87C0JBnTjv16_EWRKqEHUOo4_nh1LQ&oe=63A6B62A'}]",Yes,Yes,No
1186988311497469_2174425166087107,হোটেল পার্টি নিয়ে ব্যস্ত থাকেন তারেক কন্যা জায়মা রহমান।,https://www.facebook.com/groups/1186988311497469/permalink/2174425166087107,https://www.facebook.com/groups/1186988311497469,জায়মা,হোটেল,Gender based attack (female),"[{'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/352415475_215184284798668_148616512266427053_n.jpg?stp=dst-jpg_p720x720&_nc_cat=110&ccb=1-7&_nc_sid=730e14&_nc_ohc=VvQ-UhG8GUMAX9KYmFk&_nc_ht=scontent-sea1-1.xx&oh=00_AfDzMbVeDI7SI4QhXNAlKosbEivpq6Ml9auGXpBNrv2LFA&oe=6497F291'}]",Yes,Yes,Yes
100088855962050_344979348473928,"হেডমাস্টারের রুমে চলছে ,শিক্ষকদের বিনোদন ,এই শিক্ষা জাতিকে কি উপহার দিবে জানিনা, লজ্জা শরমহীন শিক্ষা ব্যবস্থা পতিত হচ্ছে ,বাংলাদেশের শিক্ষা ব্যবস্থায়। পতিতা এবং নর্তকীর মধ্যে পার্থক্য কি? বর্তমান শিক্ষকদেরকে শেখ হাসিনা যেভাবে নর্তকিতে পরিণত করছে ,এবং মিথ্যায় রূপান্তরিত করছে,  এক নির্বাচন আসলেই দেখবেন প্রত্যেকটি শিক্ষক এজেন্ট থাকে এবং সেই এজেন্ট থাকা অবস্থায় তারা যেভাবে ভোট চুরি করতে সহায়তা করে নিজেরা নিজেরা সিল মেরে ,

জেনে না জেনে বা মনের অজান্তে, নিজেকে, মিথ্যার বেড়াজালে আবদ্ধ করে ফেলছে।",https://www.facebook.com/100088855962050/posts/344979348473928,https://www.facebook.com/100088855962050,পতিতা,হাসিনা,Gender based attack (female),"[{'type': 'video', 'url': 'https://video-sea1-1.xx.fbcdn.net/v/t42.1790-2/418074469_7827429557284468_7171961330482666104_n.mp4?_nc_cat=106&ccb=1-7&_nc_sid=55d0d3&efg=eyJybHIiOjc1MCwicmxhIjo5OTAsInZlbmNvZGVfdGFnIjoic3ZlX3NkIn0%3D&_nc_ohc=1oADpl34yGsAX_LAC19&rl=750&vabr=417&_nc_ht=video-sea1-1.xx&oh=00_AfCeHH5iNJS6bd9wHlI1ef1tZsD9yNhBZEgbbBZR_9Yhmw&oe=65A2B4DC'}, {'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t15.5256-10/418905199_738425984849198_2473268614852502564_n.jpg?stp=dst-jpg_s720x720&_nc_cat=102&ccb=1-7&_nc_sid=1a7029&_nc_ohc=7tqXWOYcr2AAX-G7pNr&_nc_ht=scontent-sea1-1.xx&oh=00_AfCVY0sz_Uoma9_COJ1RcHyBTg-jMUTDLsc0v_1BRruNSg&oe=65A2F6FD'}]",No,No,No
693312707749256_1749571632123353,হুনলাম শেখ হাসিনা আফার মেয়ে পুতুল ওয়াজেদ এর গোপন ভিডিও ভাইরাল হয়েছে,https://www.facebook.com/groups/693312707749256/permalink/1749571632123353,https://www.facebook.com/groups/693312707749256,হাসিনা,গোপন ভিডিও,Gender based attack (female),,Yes,Yes,No
100050471740527_905194061172977,"হাসিনার দাবি এই নৌকা নাকি নূহ (আঃ) এর নৌকা, কিন্তু জনগণ দেখতেছে যে, হাসিনা এবং আ'লীগের কাজ লূত (আঃ) এর সম্প্রদায়ের(সমকামী) মতো!",https://www.facebook.com/100050471740527/posts/905194061172977,https://www.facebook.com/138965636800830,সমকামী,হাসিনা,Gender based attack (female),"[{'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/415914769_905193774506339_6683426040204949195_n.jpg?stp=dst-jpg_p720x720&_nc_cat=103&ccb=1-7&_nc_sid=3635dc&_nc_ohc=OPhCb5lH6b4AX9qDeMw&_nc_ht=scontent-sea1-1.xx&oh=00_AfBN8rUCFUxGJZfNgasGQXIIm6Mkrn3tg-zbMInpjC_lkg&oe=65953F48'}]",Yes,Yes,Yes
100087963490327_317266637882117,"হাসিনা জানে আগামীতে তার গোয়ার্তুমির ফলে কী হইতে যাইতেছে। সে জানে বাংলাদেশে একটা দুর্ভিক্ষ শুরু হবে। তাও সে একটা ফেয়ার নির্বাচন হইতে দিবেনা। যেই দুর্ভিক্ষ সে দাওয়াত কইরা নিয়ে আসতেছে সেই দুর্ভিক্ষের দায়ও সে নিবেনা। সেই দায় চাপাইবে সে বিএনপির উপরে। যেন দুনিয়াতে সেই শুধু শুদ্ধ মানুষ আর সবাই তার মতো ভালো মানুষের পিছে লাগে। সার আমদানির টেকা নাই। সামনে বোরোর সিজন। বোরো ধান হবেনা। দুর্ভিক্ষ তো সেইজন্য হবে। অবশ্য আওয়ামী শাসনের সাথে দুর্ভিক্ষ অবিচ্ছেদ্য। দুর্ভিক্ষ হলে ষোলকলা পুর্ণ হয়। শেখ মুজিবের কন্যার ভুমিকায় হাসিনা সফল। এক দলীয় ভোটও তো হয়েই যাচ্ছে। সে বাইচা থাকলে নাকি সব সামলায়ে নিবে। তো এখন সে দুর্ভিক্ষের ভয়ে কাতর কেন? ভাতার, আর নব্য প্রেমিকেরা কি তারে আর ভরসা দিতেছে না? দুনিয়াতে কোন দেশ আরেকটা ডুবন্ত দেশের দায় নিতে পারেনা। কোন দেশেরই সেই অসীম ক্ষমতা নাই। প্রায় একশো বিলিয়ন ডলারের একটা ইকোনোমিরে কোন বাপের বেটা নাই ঋণ দিয়া ঠেকা দিয়া রাখতে পারে। দেশের অর্থনীতির যে বিপুল রক্তক্ষরণ হইছে আওয়ামী লুটপাটের ফলে সেইটা সামলানোর ক্ষমতা নাই আওয়ামী লীগের। সবাই অবাধে খাইতে পারবে সেইজন্যই হাসিনার হাসিনা চাটে। খাইতে না পারলে হাসিনার হাসিনা চাইট্যা লাভ কী? হাসিনা কেমনে ইলেকশন পর্যন্ত যায় আর কেমনে ইলেকশন করে সেই মজা দেখার জন্য মুড়ির টিন নিয়া বসছি। বিশ্ব ইতিহাসের একটা বিশাল কৌতুকের বিষয় হবে হাসিনার পতনের সময়গুলা। কীভাবে একটা পরাক্রমশালী ফ্যাসিস্টের নির্মম ও কৌতুককর পতন হয় তা এই পৃথিবী অনেকদিন মনে রাখবে। হাসিনা ল্যাস্পেন্সারেরা তখন কী বলবে। কী বলে মুখ লুকাবে। কী বলে নিজেদের নির্দোষ প্রমাণ করবে সেটা হবে আরেক কৌতুক। #PinakiBhattacharya",https://www.facebook.com/100087963490327/posts/317266637882117,https://www.facebook.com/100087963490327,ভাতার,হাসিনা,Gender based attack (female),"[{'type': 'photo', 'url': 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/408660490_317267944548653_3962414367862191050_n.jpg?stp=dst-jpg_p720x720&_nc_cat=101&ccb=1-7&_nc_sid=dd5e9f&_nc_ohc=R3kqr_HSzQUAX_A8-rL&_nc_ht=scontent-sea1-1.xx&oh=00_AfCHQya3wrDsHO1Aodm3YndqtOe5-yM98FAcCY7VlrVj-Q&oe=65794E8E'}]",Yes,Yes,Yes
100044215700385_927468098737038,"হাসিনা জানে আগামীতে তার গোয়ার্তুমির ফলে কী হইতে যাইতেছে। সে জানে বাংলাদেশে একটা দুর্ভিক্ষ শুরু হবে। তাও সে একটা ফেয়ার নির্বাচন হইতে দিবেনা। যেই দুর্ভিক্ষ সে দাওয়াত কইরা নিয়ে আসতেছে সেই দুর্ভিক্ষের দায়ও সে নিবেনা। সেই দায় চাপাইবে সে বিএনপির উপরে। যেন দুনিয়াতে সেই শুধু শুদ্ধ মানুষ আর সবাই তার মতো ভালো মানুষের পিছে লাগে। সার আমদানির টেকা নাই। সামনে বোরোর সিজন। বোরো ধান হবেনা। দুর্ভিক্ষ তো সেইজন্য হবে। অবশ্য আওয়ামী শাসনের সাথে দুর্ভিক্ষ অবিচ্ছেদ্য। দুর্ভিক্ষ হলে ষোলকলা পুর্ণ হয়। শেখ মুজিবের কন্যার ভুমিকায় হাসিনা সফল। এক দলীয় ভোটও তো হয়েই যাচ্ছে। সে বাইচা থাকলে নাকি সব সামলায়ে নিবে। তো এখন সে দুর্ভিক্ষের ভয়ে কাতর কেন? ভাতার, আর নব্য প্রেমিকেরা কি তারে আর ভরসা দিতেছে না? দুনিয়াতে কোন দেশ আরেকটা ডুবন্ত দেশের দায় নিতে পারেনা। কোন দেশেরই সেই অসীম ক্ষমতা নাই। প্রায় একশো বিলিয়ন ডলারের একটা ইকোনোমিরে কোন বাপের বেটা নাই ঋণ দিয়া ঠেকা দিয়া রাখতে পারে। দেশের অর্থনীতির যে বিপুল রক্তক্ষরণ হইছে আওয়ামী লুটপাটের ফলে সেইটা সামলানোর ক্ষমতা নাই আওয়ামী লীগের। সবাই অবাধে খাইতে পারবে সেইজন্যই হাসিনার হাসিনা চাটে। খাইতে না পারলে হাসিনার হাসিনা চাইট্যা লাভ কী? হাসিনা কেমনে ইলেকশন পর্যন্ত যায় আর কেমনে ইলেকশন করে সেই মজা দেখার জন্য মুড়ির টিন নিয়া বসছি। বিশ্ব ইতিহাসের একটা বিশাল কৌতুকের বিষয় হবে হাসিনার পতনের সময়গুলা। কীভাবে একটা পরাক্রমশালী ফ্যাসিস্টের নির্মম ও কৌতুককর পতন হয় তা এই পৃথিবী অনেকদিন মনে রাখবে। হাসিনা ল্যাস্পেন্সারেরা তখন কী বলবে। কী বলে মুখ লুকাবে। কী বলে নিজেদের নির্দোষ প্রমাণ করবে সেটা হবে আরেক কৌতুক।",https://www.facebook.com/100044215700385/posts/927468098737038,https://www.facebook.com/365885986872960,ভাতার,হাসিনা,Gender based attack (female),,Yes,Yes,Yes
